Datum,Kapazität in MWh,Restkapazität in MWh,Einspeisung in MWh
2030-01-01 15:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 15:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 15:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 15:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 16:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 16:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 16:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 16:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 17:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 17:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 17:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 17:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 18:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 18:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 18:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 18:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 19:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 19:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 19:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 19:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 20:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 20:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 20:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 20:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 21:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 21:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 21:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 21:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 22:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 22:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 22:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 22:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 23:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 23:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 23:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-01 23:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 00:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 00:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 00:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 00:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 01:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 01:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 01:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 01:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 02:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 02:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 02:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 02:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 03:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 03:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 03:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 03:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 04:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 04:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 04:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 04:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 05:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 05:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 05:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 05:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 06:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 06:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 06:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 06:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 07:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 07:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 07:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 07:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 08:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 08:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 08:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 08:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 09:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 09:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 09:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 09:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 10:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 10:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 10:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 10:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 11:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 11:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 11:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 11:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 12:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 12:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 12:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 12:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 13:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 13:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 13:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 13:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 14:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 14:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 14:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 14:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 15:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 15:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 15:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 15:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 16:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 16:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 16:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 16:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 17:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 17:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 17:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 17:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 18:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 18:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 18:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 18:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 19:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 19:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 19:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 19:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 20:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 20:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 20:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 20:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 21:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 21:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 21:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 21:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 22:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 22:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 22:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 22:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 23:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 23:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 23:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-02 23:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 00:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 00:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 00:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 00:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 01:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 01:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 01:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 01:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 02:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 02:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 02:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 02:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 03:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 03:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 03:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 03:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 04:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 04:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 04:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 04:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 05:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 05:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 05:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 05:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 06:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 06:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 06:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 06:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 07:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 07:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 07:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 07:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 08:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 08:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 08:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 08:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 09:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 09:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 09:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 09:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 10:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 10:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 10:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 10:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 11:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 11:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 11:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 11:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 12:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 12:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 12:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 12:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 13:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 13:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 13:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 13:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 14:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 14:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 14:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 14:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 15:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 15:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 15:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 15:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 16:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 16:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 16:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 16:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 17:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 17:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 17:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 17:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 18:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 18:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 18:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 18:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 19:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 19:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 19:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 19:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 20:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 20:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 20:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 20:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 21:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 21:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 21:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 21:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 22:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 22:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 22:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 22:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 23:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 23:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 23:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-03 23:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 00:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 00:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 00:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 00:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 01:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 01:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 01:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 01:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 02:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 02:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 02:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 02:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 03:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 03:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 03:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 03:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 04:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 04:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 04:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 04:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 05:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 05:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 05:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 05:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 06:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 06:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 06:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 06:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 07:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 07:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 07:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 07:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 08:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 08:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 08:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 08:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 09:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 09:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 09:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 09:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 10:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 10:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 10:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 10:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 11:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 11:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 11:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 11:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 12:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 12:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 12:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 12:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 13:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 13:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 13:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 13:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 14:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 14:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 14:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 14:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 15:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 15:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 15:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 15:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 16:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 16:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 16:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 16:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 17:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 17:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 17:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 17:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 18:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 18:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 18:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 18:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 19:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 19:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 19:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 19:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 20:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 20:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 20:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 20:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 21:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 21:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 21:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 21:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 22:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 22:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 22:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 22:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 23:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 23:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 23:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-04 23:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 00:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 00:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 00:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 00:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 01:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 01:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 01:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 01:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 02:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 02:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 02:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 02:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 03:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 03:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 03:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 03:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 04:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 04:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 04:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 04:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 05:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 05:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 05:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 05:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 06:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 06:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 06:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 06:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 07:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 07:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 07:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 07:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 08:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 08:15:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 08:30:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 08:45:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 09:00:00,73860336.57246669,73860336.57246669,0.0
2030-01-05 09:15:00,73860336.57246669,73860336.57246669,0.0
